Epoch: 000, Train loss: 1.2646, Val loss: 1.0948, Test acc: 0.4030
Epoch: 001, Train loss: 1.1049, Val loss: 1.0197, Test acc: 0.4580
Epoch: 002, Train loss: 1.0530, Val loss: 1.0131, Test acc: 0.4610
Epoch: 003, Train loss: 0.9768, Val loss: 1.0135, Test acc: 0.4610
Epoch: 004, Train loss: 0.9752, Val loss: 1.0119, Test acc: 0.4620
Epoch: 005, Train loss: 0.9839, Val loss: 1.0100, Test acc: 0.4600
Epoch: 006, Train loss: 0.9874, Val loss: 1.0083, Test acc: 0.4600
Epoch: 007, Train loss: 0.9457, Val loss: 1.0065, Test acc: 0.4590
Epoch: 008, Train loss: 0.9437, Val loss: 1.0042, Test acc: 0.4580
Epoch: 009, Train loss: 1.0178, Val loss: 1.0026, Test acc: 0.4610
Epoch: 010, Train loss: 0.9628, Val loss: 1.0000, Test acc: 0.4580
Epoch: 011, Train loss: 0.9659, Val loss: 0.9975, Test acc: 0.4690
Epoch: 012, Train loss: 0.9192, Val loss: 0.9956, Test acc: 0.4710
Epoch: 013, Train loss: 0.9944, Val loss: 0.9944, Test acc: 0.4720
Epoch: 014, Train loss: 0.9284, Val loss: 0.9933, Test acc: 0.4640
Epoch: 015, Train loss: 0.9211, Val loss: 0.9928, Test acc: 0.4640
Epoch: 016, Train loss: 0.9449, Val loss: 0.9942, Test acc: 0.4650
Epoch: 017, Train loss: 0.9442, Val loss: 0.9963, Test acc: 0.4670
Epoch: 018, Train loss: 0.9184, Val loss: 0.9961, Test acc: 0.4640
Epoch: 019, Train loss: 0.9553, Val loss: 0.9985, Test acc: 0.4580
Epoch: 020, Train loss: 0.9332, Val loss: 1.0022, Test acc: 0.4620
Epoch: 021, Train loss: 0.9495, Val loss: 1.0047, Test acc: 0.4620
Epoch: 022, Train loss: 0.9398, Val loss: 1.0072, Test acc: 0.4620
Epoch: 023, Train loss: 0.9438, Val loss: 1.0090, Test acc: 0.4630
Epoch: 024, Train loss: 0.9218, Val loss: 1.0112, Test acc: 0.4570
Epoch: 025, Train loss: 0.9477, Val loss: 1.0156, Test acc: 0.4570
Epoch: 026, Train loss: 0.9100, Val loss: 1.0163, Test acc: 0.4560
Epoch: 027, Train loss: 0.9199, Val loss: 1.0117, Test acc: 0.4560
Epoch: 028, Train loss: 0.9756, Val loss: 1.0099, Test acc: 0.4500
Epoch: 029, Train loss: 0.9661, Val loss: 1.0104, Test acc: 0.4510
Epoch: 030, Train loss: 0.9354, Val loss: 1.0112, Test acc: 0.4540
Epoch: 031, Train loss: 0.8892, Val loss: 1.0116, Test acc: 0.4580
Epoch: 032, Train loss: 0.9347, Val loss: 1.0104, Test acc: 0.4710
Epoch: 033, Train loss: 0.9198, Val loss: 1.0053, Test acc: 0.4670
Epoch: 034, Train loss: 0.9622, Val loss: 1.0040, Test acc: 0.4810
Epoch: 035, Train loss: 0.9922, Val loss: 0.9938, Test acc: 0.4650
Epoch: 036, Train loss: 0.9484, Val loss: 0.9898, Test acc: 0.4650
Epoch: 037, Train loss: 0.9514, Val loss: 0.9878, Test acc: 0.4660
Epoch: 038, Train loss: 0.9337, Val loss: 0.9852, Test acc: 0.4720
Epoch: 039, Train loss: 0.9259, Val loss: 0.9822, Test acc: 0.4720
Epoch: 040, Train loss: 0.8843, Val loss: 0.9782, Test acc: 0.4760
Epoch: 041, Train loss: 0.9676, Val loss: 0.9732, Test acc: 0.4950
Epoch: 042, Train loss: 0.9112, Val loss: 1.0038, Test acc: 0.4820
Epoch: 043, Train loss: 1.1595, Val loss: 0.9650, Test acc: 0.5000
Epoch: 044, Train loss: 0.8995, Val loss: 0.9672, Test acc: 0.4940
Epoch: 045, Train loss: 0.9311, Val loss: 0.9708, Test acc: 0.4960
Epoch: 046, Train loss: 0.9066, Val loss: 0.9698, Test acc: 0.4970
Epoch: 047, Train loss: 0.9332, Val loss: 0.9661, Test acc: 0.4990
Epoch: 048, Train loss: 0.9140, Val loss: 0.9622, Test acc: 0.4980
Epoch: 049, Train loss: 0.9250, Val loss: 0.9600, Test acc: 0.4980
Epoch: 050, Train loss: 0.8677, Val loss: 0.9560, Test acc: 0.4930
Epoch: 051, Train loss: 0.8418, Val loss: 0.9517, Test acc: 0.4930
Epoch: 052, Train loss: 0.8992, Val loss: 0.9544, Test acc: 0.4860
Epoch: 053, Train loss: 0.8820, Val loss: 0.9535, Test acc: 0.4900
Epoch: 054, Train loss: 0.8923, Val loss: 0.9503, Test acc: 0.4860
Epoch: 055, Train loss: 0.9188, Val loss: 0.9565, Test acc: 0.5170
Epoch: 056, Train loss: 0.9381, Val loss: 0.9617, Test acc: 0.5070
Epoch: 057, Train loss: 0.8296, Val loss: 0.9450, Test acc: 0.5140
Epoch: 058, Train loss: 0.8755, Val loss: 0.9465, Test acc: 0.5070
Epoch: 059, Train loss: 0.8458, Val loss: 0.9422, Test acc: 0.5140
Epoch: 060, Train loss: 0.8240, Val loss: 0.9550, Test acc: 0.4980
Epoch: 061, Train loss: 0.8805, Val loss: 0.9730, Test acc: 0.4890
Epoch: 062, Train loss: 0.9305, Val loss: 0.9857, Test acc: 0.4800
Epoch: 063, Train loss: 0.8985, Val loss: 0.9885, Test acc: 0.4900
Epoch: 064, Train loss: 0.8640, Val loss: 0.9759, Test acc: 0.4870
Epoch: 065, Train loss: 0.8746, Val loss: 0.9638, Test acc: 0.4910
Epoch: 066, Train loss: 0.8431, Val loss: 0.9455, Test acc: 0.4990
Epoch: 067, Train loss: 0.8639, Val loss: 0.9435, Test acc: 0.5040
Epoch: 068, Train loss: 0.9253, Val loss: 0.9622, Test acc: 0.4980
Epoch: 069, Train loss: 0.9346, Val loss: 0.9759, Test acc: 0.4800
Epoch: 070, Train loss: 0.9285, Val loss: 0.9767, Test acc: 0.4730
Epoch: 071, Train loss: 0.8899, Val loss: 0.9727, Test acc: 0.4750
Epoch: 072, Train loss: 0.8049, Val loss: 0.9703, Test acc: 0.4780
Epoch: 073, Train loss: 0.9073, Val loss: 0.9655, Test acc: 0.5100
Epoch: 074, Train loss: 0.7851, Val loss: 0.9589, Test acc: 0.5060
Epoch: 075, Train loss: 0.8669, Val loss: 0.9515, Test acc: 0.4870
Epoch: 076, Train loss: 0.8351, Val loss: 0.9539, Test acc: 0.4730
Epoch: 077, Train loss: 0.8622, Val loss: 0.9544, Test acc: 0.5120
Epoch: 078, Train loss: 0.8317, Val loss: 0.9486, Test acc: 0.5150
Epoch: 079, Train loss: 0.9438, Val loss: 0.9469, Test acc: 0.5140
Epoch: 080, Train loss: 0.8361, Val loss: 0.9456, Test acc: 0.5150
Epoch: 081, Train loss: 0.8922, Val loss: 0.9418, Test acc: 0.5320
Epoch: 082, Train loss: 0.8267, Val loss: 0.9547, Test acc: 0.4830
Epoch: 083, Train loss: 0.8613, Val loss: 1.0067, Test acc: 0.4310
Epoch: 084, Train loss: 0.8226, Val loss: 0.9967, Test acc: 0.4790
Epoch: 085, Train loss: 0.8097, Val loss: 0.9670, Test acc: 0.5210
Epoch: 086, Train loss: 0.8165, Val loss: 1.1701, Test acc: 0.4270
Epoch: 087, Train loss: 1.1279, Val loss: 0.9296, Test acc: 0.5540
Epoch: 088, Train loss: 0.8365, Val loss: 0.9377, Test acc: 0.5230
Epoch: 089, Train loss: 0.7980, Val loss: 0.9595, Test acc: 0.4780
Epoch: 090, Train loss: 0.8888, Val loss: 0.9569, Test acc: 0.5020
Epoch: 091, Train loss: 0.8850, Val loss: 0.9547, Test acc: 0.4950
